"PMID","PMCID","DOI","Publisher","Owned by","ISSN","Journal Impact Factor","Journal title","Hybrid or Pure OA?","Article title","Citations Google Scholar","Altmetric score","CC licence type","Is article Open Access?","Cost","Contributor","Notes"
,"PMC3566480",,"Elsevier (Cell Press)","Elsevier","0960-9822",9.49,"Current Biology","Hybrid","M1 corticospinal mirror neurons and their role in movement suppression during action observation",,,,,"3,992.37",,
21948184,"PMC3782659","10.1007/s11357-011-9316-3","Elsevier (Cell Press)","Elsevier","1534-5807",12.86,"Developmental Cell","Hybrid","Autoregulatory feedback controls sequential action of cis-regulatory modules at the brinker locus",,,,,"3,975.75",,
,"PMC3617368",,"Elsevier (Cell Press)","Elsevier","2211-1247",,"Cell Reports","Pure OA","Inhibition of mitochondrial aconitase by succination in fumarate hydratase deficiency.",,,,,"3,967.99",,
23672932,"PMC3326523","10.1093/ageing/aft052","Elsevier (Cell Press)","Elsevier","0092-8674",31.96,"Cell","Hybrid","Histone recognition and large-scale structural analysis of the human bromodomain family.",,,,,"3,948.42",,
,"PMC3567269","10.1016/j.ajhg.2012.12.002","Elsevier (Cell Press)","Elsevier","1537-6609",11.2,"American Journal of Human Genetics","Hybrid","LRIG2 Mutations Cause Urofacial Syndrome",7,,"Publisher copyright","Yes ","3,938.82","Yvonne Budden","License listed as Elsevier User License 1.0 - http://www.elsevier.com/open-access/userlicense/1.0/. "
23551936,"PMC3568920","10.1016/j.neuron.2012.11.026","Elsevier (Cell Press)","Elsevier","0896-6273",15.77,"Neuron","Hybrid","Spike-driven glutamate electrodiffusion triggers synaptic potentiation via a Homer-dependent mGluR-NMDAR link",7,1,"Publisher copyright","Yes ","3,918.42","Rupert Gatti","Text accessible on publisher site - but marked ""Copyright © 2013 Elsevier Ltd. All rights reserved."" Data tables as images only."
23667472,"PMC3542422","10.1016/j.neuron.2012.10.040","Elsevier (Cell Press)","Elsevier","0896-6273",15.77,"Neuron","Hybrid","Fast silencing reveals a lost role for reciprocal inhibition in locomotion",4,1,"Publisher copyright","Yes ","3,912.20","Jackie Proven","Marked as Open Access and 'Sponsored by Wellcome Trust' but also ""Copyright © 2013 Elsevier Inc. All rights reserved."""
23525033,"PMC3607223","10.1097/QAD.0b013e32836149ea","Elsevier (Cell Press)","Elsevier","2211-1247",,"Cell Reports","Pure OA","Structure of a pestivirus envelope glycoprotein e2 clarifies its role in cell entry",,,,,"3,906.55",,
23842136,,"10.1097/QAD.0b013e3283629095","Elsevier (Cell Press)",,"1097-2765",,"Molecular Cell",,"ERdj5 is the ER Reductase that Catalyses the Removal of Non-Native Disulfides and Correct Folding of the LDL-Receptor",,,,,"3,906.43",,
23494223,"PMC3690479","10.1007/s10461-013-0445-9","Elsevier (Cell Press)","Elsevier","1550-4131",14.62,"Cell Metabolism",,"Dynamic Adipocyte Phosphoproteome Reveals Akt Directly Regulates mTORC2",,,,,"3,904.46",,
22624868,"PMC3590645","10.1080/09540121.2012.687812","Taylor and Francis",,"0954-0121",,"AIDS Care",,"Asset ownership among households caring for orphans and vulnerable children in rural Zimbabwe: The influence of ownership on children's health and social vulnerabilities",,,,,"2,399.28",,
22519913,"PMC3613944","10.1080/09540121.2012.668166","Taylor and Francis",,"0954-0121",,"AIDS Care",,"Barriers to involvement of men in ANC and VCT in Khayelitsha, South Africa.",,,,,"2,399.28",,
23745635,"PMC3687248","10.1080/09540121.2012.748171","Taylor and Francis",,"0954-0121",,"AIDS Care",,"WORLDBANK Special Issue: Evidence for a contribution of the Community Response to HIV decline in eastern Zimbabwe?",,,,,"2,232.74",,
,,,"Taylor and Francis",,"0954-0121",,"AIDS Care",,"Burden of HIV among primary school children and feasibility of primary school-linked HIV testing in Harare, Zimbabwe.",,,,,"2,145.60",,
23846570,"PMC3651934","10.1097/QAI.0b013e3182a23e9a","Elsevier (Cell Press)","Elsevier","0969-2126",5.99,"Structure","Hybrid","RNA tertiary interactions in a riboswitch stabilize the structure of a kink turn.",,,,,"3,899.19",,
23870285,"PMC3763376","10.1186/1742-6405-10-20","Elsevier (Cell Press)","Elsevier","0969-2126",5.99,"Structure","Hybrid","Redox-linked domain movements in the catalytic cycle of cytochrome P450 reductase",,,,,"3,895.64",,
23842131,"PMC3644702","10.1097/01.aids.0000432475.14992.da","Elsevier (Cell Press)","Elsevier","2211-1247",,"Cell Reports","Pure OA","Definition of RNA Polymerase ii CoTC Terminator Elements in the Human Genome",,,,,"3,884.40",,
23842132,"PMC3580286","10.1097/01.aids.0000432473.69250.19","Elsevier (Cell Press)","Elsevier","0960-9822",9.49,"Current Biology","Hybrid","Vinculin regulates the recruitment and release of core focal adhesion proteins in a force-dependent manner",,,,,"3,883.86",,
23408241,"PMC3594749","10.1093/alcalc/agt006","Elsevier (Cell Press)","Elsevier","1097-2765",15.28,"Molecular Cell","Hybrid","Bax Exists in a Dynamic Equilibrium between the Cytosol and Mitochondria to Control Apoptotic Priming",,,,,"3,883.86",,
23577724,"PMC3675675","10.1111/apt.12299","Elsevier (Cell Press)","Elsevier","2211-1247",,"Cell Reports","Pure OA","A role for cytosolic fumarate hydratase in urea cycle metabolism and renal neoplasia.",,,,,"3,882.41",,
23293917,"PMC3510434","10.1111/apt.12199","Elsevier (Cell Press)","Elsevier","0960-9822",9.49,"Current Biology","Hybrid","Brain structure links loneliness to social perception",,,,,"3,879.05",,
,,,"Taylor and Francis",,,,"Am J Bioeth",,"The ""difficult patient"" conundrum in sickle cell disease in Kenya: complex sociopolitical problems need wide multidimensional solutions.",,,,,"1,804.19",,
23091194,"PMC3178012","10.4269/ajtmh.2012.12-0215","Elsevier (Cell Press)","Elsevier","1534-5807",12.86,"Developmental Cell","Hybrid","Brat promotes stem cell differentiation via control of a bistable switch that restricts BMP signaling",,,,,"3,877.48",,
23375655,,"10.1016/j.ajhg.2013.01.003","Elsevier (Cell Press)","Elsevier","1534-5807",12.86,"Developmental Cell","Hybrid","The Neuropilin 1 Cytoplasmic Domain Is Required for VEGF-A-Dependent Arteriogenesis",,,,,"3,877.46",,
,"PMC3525857",,"Elsevier (Cell Press)","Elsevier","0960-9822",9.49,"Current Biology","Hybrid","NAADP activates two-pore channels on T cell cytolytic granules to stimulate exocytosis and killing",,,,,"3,857.16",,
22971149,"PMC3521961","10.1021/bi3009196","Elsevier (Cell Press)","Elsevier","1534-5807",12.86,"Developmental Cell","Hybrid","Molecular basis for recognition of dilysine trafficking motifs by COPI",,,,,"3,845.38",,
,"PMC3510437",,"Elsevier (Cell Press)","Elsevier","1931-3128",12.61,"Cell Host and Microbe",,"The Salmonella kinase SteC targets MEK to regulate the host actin cytoskeleton",,,,,"3,838.88",,
,"PMC3607255",,"Elsevier (Cell Press)","Elsevier","2211-1247",,"Cell Reports","Pure OA","Asymmetric localizatoin of Cdx2mRNA during the first cell fate decision in early mouse development",,,,,"3,836.32",,
23548755,"PMC3542428","10.1093/aje/kws345","Elsevier (Cell Press)","Elsevier","0969-2126",5.99,"Structure","Hybrid","Functional Insights from the Crystal Structure of the N-Terminal Domain of the Prototypical Toll Receptor",,,,,"3,832.72",,
23283497,"PMC3485558","10.3945/ajcn.112.037325","Elsevier (Cell Press)","Elsevier","0960-9822",9.49,"Current Biology","Hybrid","Distinct and overlapping roles for AP-1 and GGAs revealed by the 'knocksideways' system",,,,,"3,830.32",,
23409903,"PMC3590646","10.2105/AJPH.2012.300939","Taylor and Francis",,,,"American Journal of Bioethics--Neuroscience",,"Just How Cognitive is 'Cognitive Enhancement'? On the Significance of Emotions in University Students' Experiences with Study Drugs",,,,,"2,465.77",,
23576045,"PMC3556782","10.3945/ajcn.112.048462","Elsevier (Cell Press)","Elsevier","1074-7613",19.8,"Immunity",,"The Transcription Factor STAT-1 Couples Macrophage Synthesis of 25-Hydroxycholesterol to the Interferon Antiviral Response",,,,,"3,799.84",,
24008900,"PMC3502862","10.1093/aje/kwt137","Elsevier (Cell Press)","Elsevier","0960-9822",9.49,"Current Biology","Hybrid","BLOC-3 MUTATED IN HERMANSKY-PUDLAK SYNDROM IS A RAB32/38 GUANINE NUCLEOTIDE EXCHANGE FACTOR",,,,,"3,798.93",,
21622949,"PMC3791399","10.1093/aje/kwr053","Elsevier (Cell Press)","Elsevier","1550-4131",14.62,"Cell Metabolism",,"AMP Is a True Physiological Regulator of AMP-Activated Protein Kinase by Both Allosteric Activation and Enhancing Net Phosphorylation",,,,,"3,783.81",,
23863760,,"10.1093/aje/kwt084","Elsevier (Cell Press)","Elsevier","1534-5807",12.86,"Developmental Cell","Hybrid","Changes in Ect2 Localization Couple Actomyosin-Dependent Cell Shape Changes to Mitotic Progression",,,,,"3,781.63",,
23907068,,"10.1016/j.jagp.2013.04.007","Nature Publishing Group","Nature Publishing Group","2041-1723",,"Nature Communications","Hybrid","Meta-analysis of IDH-mutant cancers identifies EBF1 as an interaction partner for TET2",,,,,"3,780.00",,
23313374,"PMC3731653","10.1016/j.ajhg.2012.12.002","Nature Publishing Group","Nature Publishing Group","2041-1723",,"Nature Communications","Hybrid","Variability in visual cortex size reflects tradeoff between local orientation sensitivity and global orientation modulation",,,,,"3,780.00",,
23022100,"PMC3741640","10.1016/j.ajhg.2012.08.021","Nature Publishing Group","Nature Publishing Group","2041-1723",,"Nature Communications","Hybrid","Angiomotin prevents pluripotent lineage differentiation in mouse embryos via Hippo pathway dependent and independent mechanisms",,,,,"3,780.00",,
23453664,"PMC3778765","10.1016/j.ajhg.2013.02.001","Nature Publishing Group","Nature Publishing Group","2041-1723",,"Nature Communications","Hybrid","Control of synaptic vesicle endocytosis by an extracellular signalling molecule",,,,,"3,780.00",,
23849775,"PMC3621422","10.1016/j.ajhg.2013.06.006","Nature Publishing Group","Nature Publishing Group","2041-1723",,"Nature Communications","Hybrid","SynGAP isoforms exert opposing effects on synaptic strength.",,,,,"3,780.00",,
23993193,,"10.1016/j.ajhg.2013.07.017","American Society for Microbiology",,,,"Antimicrobial Agfents and Chemotherapy",,"Cyclic AMP effectors in African Trypanosomes revealed by genome-scale RNA interference library screening for resistance to the phospphodiesterase inhibitor CpdA",,,,,"3,750.05",,
23200863,"PMC3791409","10.1016/j.str.2013.03.010 ","Elsevier (Cell Press)","Elsevier","0969-2126",5.99,"Structure","Hybrid","Wzi Is an Outer Membrane Lectin that Underpins Group 1 Capsule Assembly in Escherichia coli",8,,"Publisher copyright","Yes","3,748.00","Jackie Proven","Marked as Open Access and 'Sponsored by Wellcome Trust' but also ""Copyright © 2013 Elsevier Inc. All rights reserved."""
22742743,"PMC3752973","10.1016/j.neuron.2013.06.027","Elsevier (Cell Press)","Elsevier","0896-6273",15.77,"Neuron","Hybrid","Neural primacy of the salience processing system in schizophrenia",7,33,"Publisher copyright","Yes ","3,742.98","Rupert Gatti","Text accessible on publisher site - but marked ""Copyright © 2013 Elsevier Ltd. All rights reserved."" Data tables as images only."
21907015,"PMC3473360","10.1016/j.ajhg.2011.08.005","Elsevier (Cell Press)","Elsevier","1097-2765",15.28,"Molecular Cell","Hybrid","Endoplasmic reticulum thiol oxidase deficiency leads to ascorbic acid depletion and non-canonical scurvy in mice",,,,,"3,722.39",,
21741611,"PMC3510442","10.1016/j.ajhg.2011.05.024","Elsevier (Cell Press)","Elsevier","1934-5909",25.32,"Cell Stem Cell",,"Signalling from the sympathetic nervous system regulates hematopoietic stem cell emergence during embryogenesis",,,,,"3,716.09",,
22887808,"PMC3484648","10.1002/ajmg.a.35558","Elsevier (Cell Press)","The American Society of Human Genetics","0002-9297",10.6,"American Journal of Human Genetics","Hybrid","Discovery and Fine Mapping of Serum Protein Loci through Transethnic Meta-analysis.",,,,,"3,714.29",,
,"PMC3808153",,"Elsevier (Cell Press)","Elsevier","2211-1247",,"Cell Reports","Pure OA","The 5S RNP couples ribosome biogenesis to the home",,,,,"3,712.80",,
,,,"Elsevier","Elsevier",,,"Lancet Global Health",,"Stroke risk factors within an incident population in urban and rural Tanzania: A prospective, community based case control study",,,,,"3,678.78",,
22898127,"PMC3709478","10.1016/j.amepre.2012.05.026","Nature Publishing Group","Nature Publishing Group","2041-1723",,"Nature Communications","Hybrid","Picornavirus uncoating intermediate captured in atomic detail.",,,,,"3,642.00",,
23159264,"PMC3562455","10.1016/j.amepre.2012.09.001","Nature Publishing Group","Nature Publishing Group","2041-1723",,"Nature Communications","Hybrid","Signaling properties of inorganic polyphosphate in the mammalian brain",,,,,"3,642.00",,
22099364,"PMC3514496","10.1016/j.amepre.2011.09.013","Nature Publishing Group","Nature Publishing Group","2041-1723",,"Nature Communications","Hybrid","The Hedgehog signalling pathway regulates autophagy",,,,,"3,642.00",,
,"PMC3293425",,"Nature Publishing Group","Nature Publishing Group","2041-1723",,"Nature Communications","Hybrid","Dynamics of anterior-posterior axis formation in the developing mouse embryo",,,,,"3,642.00",,
,"PMC3615473",,"Nature Publishing Group","Nature Publishing Group","2041-1723",,"Nature Communications","Hybrid","Topoisomerase IIα promotes activation of RNA polymerase I transcription by facilitating pre-initiation complex formation",,,,,"3,642.00",,
23750746,"PMC3709497","10.1111/ajt.12271","Nature Publishing Group","Nature Publishing Group","2041-1723",,"Nature Communications","Hybrid","Restricted perinatal retinal degeneration induces retina reshaping and correlated structural rearrangement of the retinotopic map",,,,,"3,642.00",,
22500984,"PMC3396843","10.1111/j.1600-6143.2012.04065.x","Elsevier (Cell Press)","Elsevier","0960-9822",9.49,"Current Biology","Hybrid","Neural circuitry underlying Drosophila female post-mating behavioural responses",,,,,"3,635.15",,
,"PMC3437444",,"Elsevier (Cell Press)","Elsevier","1534-5807",,"Developmental Cell",,"SMCHD1-DEPENDENT & INDEPENDENT PATHWAYS DETERMINE DEVELOPMENT DYNAMICS OF CPG ISLAND METHYLATION ON THE INACTIVE X CHROMOSOME",,,,,"3,630.64",,
22927495,"PMC3526787","10.4269/ajtmh.2012.11-0709","Elsevier (Cell Press)","Elsevier","0969-2126",5.99,"Structure","Hybrid","Structures of lysenin reveal a shared evolutionary origin for pore-forming proteins and its mode of sphingomyelin recognition.",,,,,"3,628.83",,
23589534,"PMC3427859","10.1016/j.neuron.2012.06.015","Elsevier (Cell Press)","Elsevier","0896-6273",15.77,"Neuron","Hybrid","The LIM-Homeodomain Protein Islet Dictates Motor Neuron Electrical Properties by Regulating K(+) Channel Expression",7,8,"Publisher copyright","Yes ","3,608.34","Rupert Gatti","Text accessible on publisher site - but marked ""Copyright © 2012 Elsevier Ltd. All rights reserved."" Data tables as images only."
23589533,,"10.4269/ajtmh.12-0633","The Endocrine Society",,,,"Journal of Clinical Endocrinology",,"Corticotropin releasing hormone interacts with Interleukin;-1 to Regulate Prostaglandin H Synthase- 2 Expression in Human Myometrium During Pregnancy and Labor",,,,,"3,602.41",,
,,,"BMJ Group",,"1756-1833",17.22,"British Medical Journal","Hybrid","Completeness and diagnostic validity of recording acute myocardial infarction events in primary care, hospital care, disease registry, and national mortality records: cohort study.",,,"CC-BY-NC",,"3,600.00","Jenny Molloy",
22918538,"PMC3624963","10.1007/s00216-012-6335-6","BMJ Group",,"1756-1833",17.22,"British Medical Journal","Hybrid","Orlistat and the risk of acute liver injury: a self-controlled case-series study in UK general practice research database.",,,"CC-BY-NC",,"3,600.00","Jenny Molloy",
21211507,"PMC3771416","10.1016/j.ab.2010.12.036","Elsevier","Elsevier",,,"Lancet Infect Dis",,"Efficacy of RTS,S malaria vaccines: individual-participant pooled analysis of phase 2 data.",,,,,"3,600.00",,
23020125,"PMC3413714","10.1371/journal.pntd.0001760","PLOS","PLOS","1935-2735",4.57,"PLOS Neglected Tropical Diseases","Pure OA","Refining the Global Spatial Limits of Dengue Virus Transmission by Evidence-Based Consensus",,,"CC-BY","Yes ","3,600.00","Stuart Lawson",
,"PMC3435256","10.1371/journal.pntd.0001814","PLOS","PLOS","1935-2735",4.57,"PLOS Neglected Tropical Diseases","Pure OA","A long neglected world malaria map: Plasmodium vivax endemicity in 2010",,,"CC-BY","Yes ","3,600.00","Stuart Lawson",
23057555,"PMC3507630","10.1021/ac3015643","Elsevier (Cell Press)","Elsevier","1534-5807",12.86,"Developmental Cell","Hybrid","Rab25 and CLIC3 Collaborate to Promote Integrin Recycling from Late Endosomes/Lysosomes and Drive Cancer Progression",,,,,"3,575.88",,
23670921,,"10.1002/anie.201302098","Nature Publishing Group","Nature Publishing Group","2041-1723",,"Nature Communications","Hybrid","AMA1 of Apicomplexa mediates parasite attachment but is dispensable for host cell invasion",,,,,"3,498.00",,
23161730,"PMC3826647","10.1002/anie.201204459","Nature Publishing Group","Nature Publishing Group","2041-1723",,"Nature Communications","Hybrid","Bod1 regulates protein phosphatase 2A at mitotic kinetochores.",,,,,"3,498.00",,
22961729,"PMC3677138","10.1002/anie.201205676","Nature Publishing Group",,"0887-6924",,"Leukemia",,"Bivalent promoter marks and a latent enhancer may prime the leukaemia oncogene LMO1 for ectopic expression in T-cell leukaemia",,,,,"3,480.00",,
22730171,,"10.1002/anie.201202660","Nature Publishing Group",,"1098-3600",,"Genetics in Medicine",,"Population-based estimates of the prevalence of FMR1 expansion mutations in women with early menopause and primary ovarian insufficiency",,,,,"3,360.00",,
21472932,,"10.1002/anie.201008019","Nature Publishing Group",,"0950-9232",,"Oncogene",,"Hox-mediated lmo2 expression in embryonic mesoderm is recapitulated in acute leukaemias",,,,,"3,360.00",,
,,,"Nature Publishing Group",,"0950-9232",,"Oncogene",,"Signalling mediated by the NF-kB sub-units NF-kB1, NF-kB2 and C-Rel differentially regulate Helicobacter felis-induced gastric carcinogenesis in C57BL/6 mice",,,,,"3,360.00",,
24027342,"PMC3629568","10.1016/j.anbehav.2013.06.011","Elsevier (Cell Press)","Elsevier","1934-5909",25.32,"Cell Stem Cell",,"Short telomeres in ESCs lead to unstable differentiation",,,,,"3,352.04",,
24109147,,"10.1016/j.anbehav.2013.06.018","Journal of Visualized Experiments",,,,"Journal of Visualized Experiments","Hybrid","A flow adhesion assay to study leucocyte recruitment to human hepatic sinusoidal endothelium under conditions of shear stress",,,,,"3,284.88",,
22817777,"PMC3607254","10.1111/j.1469-1809.2012.00720.x","Elsevier (Cell Press)","Elsevier","2211-1247",,"Cell Reports","Pure OA","Tcf15 primes pluripotent cells for deifferentiation",,,,,"3,242.21",,
23381943,,"10.1002/ana.23838","Journal of Visualized Experiments",,,,"Journal of Visualized Experiments","Hybrid","Use of Galleria mellonella as a model organism to study Legionella pneumophila infection",,,,,"3,238.25",,
21446022,"PMC3502867","10.1002/ana.22109","Elsevier (Cell Press)","Elsevier","0960-9822",9.49,"Current Biology","Hybrid","Substrate-borne vibratory communication during courtship in Drosophila melanogaster",,,,,"3,213.28",,
23034917,"PMC3569044","10.1002/ana.23614","American Psychological Association",,"0735-7044",,"Behavioral Neuroscience",,"The Neural Basis of Nonvisual Object Recognition",,,,,"3,211.77",,
23424103,"PMC3670620","10.1002/ana.23832","American Psychological Association",,"0735-7044",,"Behavioral Neuroscience",,"Dissociation of recognition and recency memory judgments after anterior thalamic nuclei lessions in rats",,,,,"3,209.63",,
22451201,"PMC3420011","10.1002/ana.22619","Elsevier (Cell Press)","Elsevier","0092-8674",31.96,"Cell","Hybrid","Small-molecule inhibition of BRDT for male contraception, Cell, Elsevier",,,,,"3,208.69",,
,"PMC3783897",,"Taylor and Francis",,"0003-3790",,"Annals of Science",,"Systems, and How Linnaeus Looked At Them in Retrospect",,,,,"2,337.60",,
22830645,"PMC3727344","10.1111/j.1749-6632.2012.06650.x","American Psychological Association",,"0278-6133",,"Health Psychology",,"Behavior change techniques used to promote walking and cycling: a systematic review",,,,,"3,188.30",,
,"PMC3539454",,"Oxford University Press",,,,"Cerebral Cortex print",,"Image-invariant responses in face-selective regions do not explain the perceptual advantage for familiar face recognition.",,,,,"3,177.60",,
